,Unnamed: 0,Temperature,Humidity Sensor,UUT1_I_S1,UUT1_I_S2,UUT1_I_S3,UUT1_I_S4,UUT2_I_S1,UUT2_I_S2,UUT2_I_S3,UUT2_I_S4,UUT3_I_S1,UUT3_I_S2,UUT3_I_S3,UUT3_I_S4,FinalConcAcetone,FinalConcCO,FinalConcEtOH
1440000,1440000,25.02000000000004,40.053314,1.2355989583333337e-07,2.214947916666667e-07,1.122369791666667e-07,4.21796875e-08,9.232291666666669e-08,1.8440104166666665e-07,1.0017708333333333e-07,4.2166666666666674e-08,1.2607552083333333e-07,2.278072916666667e-07,1.0731250000000003e-07,3.481770833333334e-08,8.9979047384925,8.25670240712103,20.030757181201533
1440001,1440001,25.02000000000004,40.053314,1.0602083333333335e-07,1.8708072916666665e-07,9.417187500000001e-08,3.5182291666666665e-08,7.845833333333334e-08,1.538697916666667e-07,8.441145833333333e-08,3.5205729166666664e-08,1.0771354166666667e-07,1.908072916666667e-07,8.872916666666667e-08,2.8153645833333332e-08,8.9979047384925,8.25670240712103,20.030757181201533
1440002,1440002,25.02000000000004,40.053314,9.060416666666669e-08,1.5722395833333336e-07,7.883072916666667e-08,2.9289062500000003e-08,6.644531250000003e-08,1.27734375e-07,7.136197916666668e-08,2.9208333333333332e-08,9.161458333333335e-08,1.592994791666667e-07,7.301302083333334e-08,2.246614583333333e-08,8.9979047384925,8.25670240712103,20.030757181201533
1440003,1440003,25.02000000000004,40.053314,7.72265625e-08,1.3170052083333338e-07,6.574739583333334e-08,2.4234375e-08,5.5705729166666675e-08,1.0540885416666669e-07,6.025e-08,2.42109375e-08,7.789583333333334e-08,1.3240625e-07,5.9575520833333344e-08,1.7677083333333332e-08,8.9979047384925,8.25670240712103,20.030757181201533
1440004,1440004,25.02000000000004,40.053314,6.576822916666667e-08,1.0980989583333333e-07,5.4841145833333345e-08,1.98671875e-08,4.64765625e-08,8.659375e-08,5.093229166666666e-08,1.977864583333333e-08,6.58671875e-08,1.093463541666667e-07,4.8369791666666676e-08,1.3552083333333334e-08,8.9979047384925,8.25670240712103,20.030757181201533
1440005,1440005,25.02000000000004,40.053314,5.5921875000000006e-08,9.134635416666669e-08,4.5705729166666665e-08,1.6341145833333338e-08,3.870833333333333e-08,7.061197916666669e-08,4.317447916666667e-08,1.6166666666666666e-08,5.563541666666667e-08,8.988020833333336e-08,3.89921875e-08,0.00000001,8.9979047384925,8.25670240712103,20.030757181201533
1440006,1440006,25.02000000000004,40.053314,4.7296875000000006e-08,7.53828125e-08,3.7966145833333335e-08,1.32265625e-08,3.1690104166666664e-08,5.681510416666667e-08,3.652864583333333e-08,1.31875e-08,4.6815104166666675e-08,7.312239583333334e-08,3.10546875e-08,7.125e-09,8.9979047384925,8.25670240712103,20.030757181201533
1440007,1440007,25.02000000000004,40.053314,3.9992187500000004e-08,6.215625000000001e-08,3.133854166666666e-08,1.05e-08,2.5934895833333334e-08,4.546354166666668e-08,3.103125e-08,1.0447916666666666e-08,3.9145833333333334e-08,5.9091145833333334e-08,2.44765625e-08,4.6223958333333335e-09,8.9979047384925,8.25670240712103,20.030757181201533
1440008,1440008,25.02000000000004,40.053314,3.3713541666666674e-08,5.0864583333333334e-08,2.599739583333333e-08,8.427083333333334e-09,2.0783854166666672e-08,3.5494791666666675e-08,2.6484375e-08,8.315104166666667e-09,3.258072916666667e-08,4.715104166666666e-08,1.90078125e-08,2.5312500000000003e-09,8.9979047384925,8.25670240712103,20.030757181201533
1440009,1440009,25.02000000000004,40.053314,2.8236979166666666e-08,4.13046875e-08,2.1567708333333337e-08,6.3776041666666674e-09,1.6585937500000002e-08,2.7721354166666667e-08,2.2763020833333337e-08,6.0546875e-09,2.720312500000001e-08,3.73046875e-08,1.4520833333333337e-08,7.708333333333333e-10,9.002431004882006,8.232850845995412,19.98223166819497
